location,therapy_category,drug_class,calcium_channel_blockers,thiazide_type_diuretics,ace_inhibitors,angiotensin_ii_blockers,beta_blockers,other,percentage_among_therapy_category_mean,percentage_among_therapy_category_lb,percentage_among_therapy_category_ub,percentage_among_therapy_category_uncertainty_level
Russian Federation,triple,CCB + ACEI + ARB + BB,2,0,1,1,1,0,12.891,,,
Russian Federation,,CCB + DU + ARB + BB,2,2,0,1,1,0,8.944,,,
Russian Federation,,CCB + DU + ACEI + ARB,2,2,1,1,0,0,8.594,,,
Malaysia ,mono,CCB,2,0,0,0,0,0,33.10,,,
Malaysia ,mono,Diuretics ,0,2,0,0,0,0,12.60,,,
Malaysia ,mono,ARB ,0,0,0,1,0,0,4.90,,,
Malaysia ,mono,ACEI,0,0,1,0,0,0,17.80,,,
Malaysia ,mono,Beta blocker,0,0,0,0,1,0,29.10,,,
Malaysia ,mono,Other non-first line drugs ,0,0,0,0,0,1,2.50,,,
Malaysia ,dual,CCB + Beta blocker ,2,0,0,0,1,0,20.00,,,
Malaysia ,dual,Diuretics + Beta blocker ,0,2,0,0,1,0,17.00,,,
Malaysia ,dual,ACEI + CCB,2,0,1,0,0,0,11.90,,,
Malaysia ,dual,CCB + Diuretics ,2,2,0,0,0,0,10.30,,,
Malaysia ,dual,ARB + Diuretics ,0,2,0,1,0,0,9.20,,,
Malaysia ,dual,Other first-line drug combos,0,0,0,0,0,1,23.30,,,
Malaysia ,dual,Non-first-line drug combo ,0,0,0,0,0,1,8.30,,,
Malaysia ,triple,CCB + ARB/ACEI + Beta blocker ,2,0,parameter,parameter,1,0,22.20,,,
Malaysia ,triple,DU + ARB/ACEI + Beta blocker ,0,2,parameter,parameter,1,0,22.20,,,
Malaysia ,triple,CCB + DU + ARB/ACEI,2,2,parameter,parameter,0,0,22.20,,,
Malaysia ,triple,CCB + DU + Beta blocker ,2,2,0,0,1,0,33.30,,,
Malaysia ,quad,CCB + ACEI + BB + AB,2,0,0,0,0,1,10.13,,,
India ,mono,CCB,2,0,0,0,0,0,40.23,,,
India ,mono,Diuretics standard dose,0,1,0,0,0,0,5.32,,,
India ,mono,Diuretics full dose,0,2,0,0,0,0,4.14,,,
India ,mono,ARB,0,0,0,1,0,0,18.34,,,
India ,mono,ACEI,0,0,1,0,0,0,6.51,,,
India ,mono,Beta blocker,0,0,0,0,1,0,24.25,,,
India ,dual,DU + ARB ,0,2,0,1,0,0,35.10,,,
India ,dual,DU + CCB,2,2,0,0,0,0,10.59,,,
India ,dual,DU + ACEI,0,2,1,0,0,0,7.28,,,
India ,dual,CCB + ACEI,2,0,1,0,0,0,2.65,,,
India ,dual,CCB + BB ,2,0,0,0,1,0,37.77,,,
India ,dual,ACEI + BB ,0,0,1,0,1,0,1.32,,,
India ,dual,ARB + BB ,0,0,0,1,1,0,5.29,,,
India ,triple,CCB + DU + ARB,2,2,0,1,0,0,50,,,
India ,triple,CCB + BB + ACEI,2,0,1,0,1,0,50,,,
Nigeria ,mono,CCB,2,0,0,0,0,0,27.075,,,
Nigeria ,mono,Diuretics standard dose ,0,1,0,0,0,0,33.238,,,
Nigeria ,mono,Diuretics double dose,0,2,0,0,0,0,7.526,,,
Nigeria ,mono,ARB ,0,0,0,1,0,0,8.522,,,
Nigeria ,mono,ACEI,0,0,1,0,0,0,17.905,,,
Nigeria ,mono,Beta blocker,0,0,0,0,1,0,5.734,,,
Nigeria ,dual,CCB + DU,2,2,0,0,0,0,30.746,,,
Nigeria ,dual,DU + ACEI,0,2,1,0,0,0,20.334,,,
Nigeria ,dual,CCB + ACEI,2,0,1,0,0,0,13.505,,,
Nigeria ,dual,DU + ACEI,0,2,1,0,0,0,9.677,,,
Nigeria ,dual,DU + BB,0,2,0,0,1,0,6.513,,,
Nigeria ,dual,CCB + ARB,2,0,0,1,0,0,6.427,,,
Nigeria ,dual,CCB + BB,2,0,0,0,1,0,4.326,,,
Nigeria ,dual,ACEI + ARB,0,0,1,1,0,0,4.250,,,
Nigeria ,dual,ACEI + BB,0,0,1,0,1,0,2.861,,,
Nigeria ,dual,ARB + BB,0,0,0,1,1,0,1.361,,,
Nigeria ,triple,CCB + DU + ACEI,2,2,1,0,0,0,34.668,,,
Nigeria ,triple,CCB + DU + ARB,2,2,0,1,0,0,16.498,,,
Nigeria ,triple,CCB + DU + BB,2,2,0,0,1,0,11.104,,,
Nigeria ,triple,DU + ACEI + ARB,0,2,1,1,0,0,10.911,,,
Nigeria ,triple,DU + ACEI + BB,0,2,1,0,1,0,7.344,,,
Nigeria ,triple,CCB + ACEI + ARB,2,0,1,1,0,0,7.247,,,
Nigeria ,triple,CCB + ACEI + BB,2,0,1,0,1,0,4.877,,,
Nigeria ,triple,DU + ARB + BB,0,2,1,0,1,0,3.495,,,
Nigeria ,triple,CCB + ARB + BB,2,0,0,1,1,0,2.321,,,
Nigeria ,triple,ACEI + ARB + BB,0,0,1,1,1,0,1.535,,,
Nigeria ,quad,CCB + DU + ACEI + ARB,2,2,1,1,0,0,42.628,,,
Nigeria ,quad,CCB + DU + ACEI + BB,2,2,1,0,1,0,28.691,,,
Nigeria ,quad,CCB + DU + ARB + BB,2,2,0,1,1,0,13.654,,,
Nigeria ,quad,DU + ACEI + ARB + BB,2,0,1,1,1,0,9.030,,,
Nigeria ,quad,CCB + ACEI + ARB + BB,0,2,1,1,1,0,5.997,,,
